model numbaring in vm,model name,loaded,Satisfiable,required,disallowed,interactions,notes
242,seaurchind2-1.rein,5,found,3,0,"   REQ: A -> B (+)
    REQ: A -> C (+)
    REQ: B -> C (-)",
243,seaurchine1-7.rein,6,found,0,0,,
244,seaurchine1-9.rein,6,found,0,0,,
245,seaurchine2-5.rein,6,found,1,0,REQ: gcm -> nsmfate (+),
246,seaurchine3-1.rein,6,found,4,0," REQ: alx -> gcm (-)
    REQ: alx -> skelefate (+)
    REQ: gcm -> alx (-)
    REQ: gcm -> nsmfate (+)",
247,seaurchinf1-3.rein,10,found,6,0," REQ: ets -> alx (+)
    REQ: ets -> tbr (+)
    REQ: hesc -> alx (-)
    REQ: hesc -> ets (-)
    REQ: hesc -> tbr (-)
    REQ: pmar -> hesc (-)",
248,seaurchinf2-1.rein,10,found,0,5,"  DIS: ets -> alx (+)
    DIS: hesc -> alx (-)
    DIS: hesc -> ets (-)
    DIS: matinput -> pmar (+)
    DIS: matubi -> ets (+)",
249,HerrmannModel.rein,39,no,,,,
250,HerrmannPlusMissingOptionalInteractions.rein,skipping - too large,,,,,
251,KrumsiekNetwork.rein,30,found,15,2,"  REQ: CEBPa -> CEBPa (+)
    REQ: CEBPa -> Gfi1 (+)
    REQ: EKLF -> Fli1 (-)
    REQ: EgrNab -> Gfi1 (-)
    REQ: Fli1 -> EKLF (-)
    REQ: GATA1 -> EKLF (+)
    REQ: GATA1 -> FOG1 (+)
    REQ: GATA1 -> Fli1 (+)
    REQ: GATA1 -> GATA1 (+)
    REQ: GATA1 -> SCL (+)
    REQ: GATA2 -> GATA1 (+)
    REQ: GATA2 -> GATA2 (+)
    REQ: Gfi1 -> cjun (-)
    REQ: PU1 -> GATA2 (-)
    REQ: PU1 -> cjun (+)
    DIS: FOG1 -> GATA2 (-)
    DIS: GATA1 -> GATA2 (-)",
252,CellCycleInBuddingYeast.rein,31,found,13,0,"  REQ: Cdc20 -> Cdh1 (+)
    REQ: CellSize -> CellSize (-)
    REQ: CellSize -> Cln3 (+)
    REQ: Clb12 -> MBF (-)
    REQ: Clb12 -> SBF (-)
    REQ: Clb56 -> Mcm1 (+)
    REQ: Cln12 -> Cdh1 (-)
    REQ: Cln12 -> Sic1 (-)
    REQ: Cln3 -> MBF (+)
    REQ: Cln3 -> SBF (+)
    REQ: MBF -> Clb56 (+)
    REQ: SBF -> Cln12 (+)
    REQ: Sic1 -> Clb56 (-)",
253,LiYeastModel.rein,31,found,13,0," REQ: Cdc20 -> Cdh1 (+)
    REQ: CellSize -> CellSize (-)
    REQ: CellSize -> Cln3 (+)
    REQ: Clb12 -> MBF (-)
    REQ: Clb12 -> SBF (-)
    REQ: Clb56 -> Mcm1 (+)
    REQ: Cln12 -> Cdh1 (-)
    REQ: Cln12 -> Sic1 (-)
    REQ: Cln3 -> MBF (+)
    REQ: Cln3 -> SBF (+)
    REQ: MBF -> Clb56 (+)
    REQ: SBF -> Cln12 (+)
    REQ: Sic1 -> Clb56 (-)",
254,109_5_0_N5.rein,,,,,,
255,id-029_var-9_in-2.rein,,,,,,
256,id-052_var-23_in-8.rein,,,,,,
257,id-057_var-15_in-0.rein,,,,,,
258,id-058_var-14_in-0.rein,,,,,,
259,model_N5_K2.rein,,,,,,
260,Klf4SkdPluripotencyMaintained2iLif.rein,SKIP_TOO_LARGE,,,,,
261,Klf4SkdPluripotencyNotMaintained2iLif.rein,SKIP_TOO_LARGE,,,,,
262,Cdc20KDG1ToSPathSuccessful.rein,SKIP_TOO_LARGE,,,,,
263,Cdc20KDG1ToSPathUnsuccessful.rein,SKIP_TOO_LARGE,,,,,
264,Cdh1KDG1ToSPathSuccessful.rein,SKIP_TOO_LARGE,,,,,
265,Cdh1KDG1ToSPathUnsuccessful.rein,SKIP_TOO_LARGE,,,,,
266,Clb12KDG1ToSPathSuccessful.rein,SKIP_TOO_LARGE,,,,,
267,Clb12KDG1ToSPathUnsuccessful.rein,SKIP_TOO_LARGE,,,,,
268,Clb56KDG1ToSPathSuccessful.rein,SKIP_TOO_LARGE,,,,,
269,Clb56KDG1ToSPathUnsuccessful.rein,SKIP_TOO_LARGE,,,,,
270,Cln12KDG1ToSPathSuccessful.rein,SKIP_TOO_LARGE,,,,,
271,Cln12KDG1ToSPathUnsuccessful.rein,SKIP_TOO_LARGE,,,,,
272,Cln3KDG1ToSPathSuccessful.rein,SKIP_TOO_LARGE,,,,,
273,Cln3KDG1ToSPathUnsuccessful.rein,SKIP_TOO_LARGE,,,,,
274,MBFKDG1ToSPathSuccessful.rein,SKIP_TOO_LARGE,,,,,
275,MBFKDG1ToSPathUnsuccessful.rein,SKIP_TOO_LARGE,,,,,
276,Mcm1KDG1ToSPathSuccessful.rein,SKIP_TOO_LARGE,,,,,
277,Mcm1KDG1ToSPathUnsuccessful.rein,SKIP_TOO_LARGE,,,,,
278,SBFKDG1ToSPathSuccessful.rein,SKIP_TOO_LARGE,,,,,
279,SBFKDG1ToSPathUnsuccessful.rein,SKIP_TOO_LARGE,,,,,
280,Sic1KDG1ToSPathSuccessful.rein,SKIP_TOO_LARGE,,,,,
281,Sic1KDG1ToSPathUnsuccessful.rein,SKIP_TOO_LARGE,,,,,
282,Swi5KDG1ToSPathSuccessful.rein,SKIP_TOO_LARGE,,,,,
283,Swi5KDG1ToSPathUnsuccessful.rein,SKIP_TOO_LARGE,,,,,
284,095_9_1_level_A_sparse.rein,27,found,0,0,,
285,095_9_1_level_B_medium.rein,27,found,0,0,,
285,095_9_1_level_C_dense.rein,27,found,0,0,,
285,185_12_3_level_A_sparse.rein,32,found,0,0,,
285,185_12_3_level_B_medium.rein,34,found,0,6,"  DIS: v_DMRT1_b1 -> v_FOXL2 (-)
    DIS: v_DMRT1_b1 -> v_SOX9 (+)
    DIS: v_ESTRO -> v_FOXL2 (+)
    DIS: v_HEMGN -> v_DMRT1_b1 (+)
    DIS: v_Z1 -> v_DMRT1_b1 (+)
    DIS: v_Z2 -> v_DMRT1_b1 (+)",
285,185_12_3_level_B3_every3.rein,34,found,0,6,"  DIS: v_DMRT1_b1 -> v_FOXL2 (-)
    DIS: v_DMRT1_b1 -> v_SOX9 (+)
    DIS: v_ESTRO -> v_FOXL2 (+)
    DIS: v_HEMGN -> v_DMRT1_b1 (+)
    DIS: v_Z1 -> v_DMRT1_b1 (+)
    DIS: v_Z2 -> v_DMRT1_b1 (+)",
285,185_12_3_level_Bplus_every2.rein,34,no solutions,,,,
285,185_12_3_level_C_dense.rein,34,no solutions,,,,
285,088_level_A_sparse,11,found,0,0,,
285,088_level_B_medium,11,found,0,0,,
285,088_level_C_dense,11,found,0,0,,
285,186_7_3_level_B_medium,25,found,0,3,"  DIS: v_DMRT1_b1 -> v_DMRT1_b1 (+)
    DIS: v_DMRT1_b1 -> v_SOX9 (+)
    DIS: v_HEMGN -> v_DMRT1_b1 (+)
",
285,182_12_2_level_B_medium,59,found,0,6,"  DIS: v_Cdh1 -> v_CycA (-)
    DIS: v_Cdh1 -> v_Skp2 (-)
    DIS: v_Skp2 -> v_Cdh1 (-)
    DIS: v_p27_1_b1 -> v_Cdh1 (+)
    DIS: v_p27_2 -> v_Cdh1 (+)
    DIS: v_p27_2 -> v_E2F (+)",
285,110_9_0_level_B_medium.rein,12,found,0,0,,
